EventName,캐릭터 이름,대사
,,일단… 닿으면 큰일난다는 거 정도?
,,내부에서도 계속 조사하려고 준비를 좀 했어.
,,알아내는대로 전달해줄게. 
,데릭,…이번엔 내부가 불안정하니 가급적 조심히 행동해.
,이안,알지~
,세이지아,넵! 알...알겠습니다!
,노엘,세이지아랑 나는 '중층'에서 조사 할테니, 
,,너희 둘은 '상층'으로 간 뒤 갈라져서 행동해.
,,세이지아. 넌 왼쪽 길로 가. 
,,난 오른쪽으로 갈테니 뭔 일 있으면 연락하고.
,,이의 없지? 그럼 출발하자
end,,
,,
구조팀1,노엘,수고가 많으십니다.
,구조팀,아.. 
,,네.. 오셨군요
,,기다리고 있었습니다.
,노엘,지금 상황이 어떤가요? 
,,좋아보이진 않지만…
,구조팀,네에. 보시다시피 꽤 심합니다.
,,내부에서 유출된 독극물이 파이프를 터트렸다고 하더군요.
,,공기 중으로 퍼지는건 아니라 다행이지만…
,,피부에 노출되면...
,노엘,…독성이 꽤 강한가봅니다.
,구조팀,조금 접촉하는 것 만으로도 살이 녹아내려요. 부식성이 강한게 제일 문제죠. 
,,진입하실때 조심하셔야합니다. 독을 막을 장비가 현재로는 준비되지 않아서
,노엘,네. 주의하겠습니다.
end,,
,,
작업자조우,노엘,괜찮으십니까?
,작업자,아.. 경찰이시군요…
,,전 나름 괜찮은 편입니다…
,,제 동료들에 비하면 저야 멀쩡한 편이지요…
,노엘,사고 규모가 커 의료물품 공급이 원활하지 않다고 들었습니다.
,,혹시 내부 상황을 여쭈어도 되겠습니까?
,작업자,아...
,,사실 기억이 잘 나지 않습니다…
,,너무 긴박한 상황이었던 지라…
,,여기까지 뛰어왔는지 기어왔는지도 헷갈릴 정도입니다..
,,그래도 기억을 더듬어 보자면…
,,아! 바닥이 많이 꺼져있었습니다.
,,제대로 발 디딜 공간도 없을지도 모르겠네요..
,,이것 말고는 기억나는게 없어서.. 도움을 많이 드리지 못한 것 같아 죄송합니다…
,노엘,아닙니다. 이정도면 충분해요.
,,감사합니다.
,작업자,옙.. 수고하세요.
end,,
,,
세이지아노엘1,세이지아,저도 나름 오래 일했다 생각했는데…
,,이런 경우는 처음이라서…
,,선배는 어때요?
,,긴장되지는…. 않으시겠죠…..
,노엘,너무 떨 필요는 없어.
,,위험하면 바로 나오면 되는거야
,세이지아,후… 심호흡 좀 해야겠어요…
end,,
,,
데릭노엘1,데릭,….
,노엘,무슨 일 있어?
,데릭,…사건 규모가 이렇게 큰데..
,,개인행동을 지시받은건 좀 걱정되지 않나?
,노엘,이런일이 한 두번도 아니고.
,,필요하면 나중에 재편성 되겠지
,데릭,…
,노엘,준비하고 와.
end,,
,,
카렌노엘1,카렌,아아. 잘 들려요?
,노엘,잘 들려.
,카렌,다행이네요. 혹시나 시설 내부에서 통신이 안되면 어쩌나 고민 좀 했거든요.
,,저는 이번 임무에서 노엘 경위님의 서포트를 담당할 카렌이라고 합니다.
,,뭐.. 형식적인 인사지만 그냥 해봤어요.
,,그래도 다행이죠? 저는 그래도 일을 꽤 잘하는 편이니까요.
,,이런 위험천만한 임무에서 꽤 도움이 될거에요.
,노엘,잡담은 그만하고. 출발할까.
,카렌,좋아요! 출발하죠.
end,,
,,
세이지아노엘2,세이지아,선배! 들려요?
,노엘,어. 그래 세이지아. 무슨 일이야?
,세이지아,아니 선배 사고났다면서요! 
,,괜찮은거에요? 필요하면 지금 당장 구조팀 호출할게요. 
,노엘,그 정도는 아니야…  
,,카렌이 전달했어?
,카렌,네에~ 당연하죠. 제가 설마 가만히 있었을까
,노엘,…일단 나는 여기서 중앙정제장치까지 접근 해볼까 하는데.
,세이지아,그럼 돌아올 길은 찾은거에요?
,노엘,…
,,일단 내가 당장 그 쪽으로 갈 수 없으니까 좀 신중하게 다녀.
end,,
,,
진동,노엘,…! 진동이!
,카렌,선배! 거기 무너질지도 몰라요. 어서 나와요 빨리!
,노엘,젠장!
end,,
,,
낙하직전,노엘,젠장!
,카렌,선배? 무슨일이에요!
,노엘,더 이상 길이 없어!
,,....하
end,,
,,
낙하,노엘,지금부터 뛰어 내릴꺼야.
,카렌,네??? 얼마나 깊을줄 알고…!
,노엘,시간이 없어! 간다!
end,,
,,
맵1후반,카렌,아아 선배님.
,노엘,무슨 일이지?
,카렌,그 제 8 정화조로 가시는 길에 문이 있어서…
,,열쇠를 찾아서 가셔야 할 것 같아요.
,노엘,알겠다. 찾아보도록 하지.
end,,
,,
맵3중반,카렌,선배님 들리세요?
,노엘,잘 들린다.
,카렌,이제 문 2개만 더 지나가시면 중앙제어장치실입니다.
,,아마 이 근처는 더 많이 부식되어 있어서 좀 위험할 거에요.
,노엘,알겠다. 조심하도록 하지.
end,,
